Country,Continent,iso_code,Sub Region,total_cases,total_deaths
Singapore,Asia,SGP,South-Eastern Asia,27356,22
Sint Maarten (Dutch part),Americas,SXM,Caribbean,77,15
Slovakia,Europe,SVK,Eastern Europe,1493,28
Slovenia,Europe,SVN,Southern Europe,1465,103
Somalia,Africa,SOM,Eastern Africa,1357,55
South Africa,Africa,ZAF,Southern Africa,14355,261
South Sudan,Africa,SSD,Eastern Africa,236,4
Spain,Europe,ESP,Southern Europe,231350,27650
Sri Lanka,Asia,LKA,Southern Asia,960,9
Sudan,Africa,SDN,Northern Africa,1964,91
Suriname,Americas,SUR,South America,10,1
Swaziland,Africa,SWZ,Southern Africa,202,2
Sweden,Europe,SWE,Northern Europe,29677,3674
Switzerland,Europe,CHE,Western Europe,30489,1601
Syria,Asia,SYR,Western Asia,51,3
Taiwan,Asia,TWN,Eastern Asia,440,7
Tajikistan,Asia,TJK,Central Asia,1322,36
Tanzania,Africa,TZA,Eastern Africa,509,21
Thailand,Asia,THA,South-Eastern Asia,3028,56
Timor,Asia,TLS,South-Eastern Asia,24,0
Togo,Africa,TGO,Western Africa,298,11
Trinidad and Tobago,Americas,TTO,Caribbean,116,8
Tunisia,Africa,TUN,Northern Africa,1035,45
Turkey,Asia,TUR,Western Asia,148067,4096
Turks and Caicos Islands,Americas,TCA,Caribbean,12,1
Uganda,Africa,UGA,Eastern Africa,227,0
Ukraine,Europe,UKR,Eastern Europe,17858,497
United Arab Emirates,Asia,ARE,Western Asia,22627,214
United Kingdom,Europe,GBR,Northern Europe,240161,34466
United States,Americas,USA,Northern America,1467884,88754
Uruguay,Americas,URY,South America,733,19
Uzbekistan,Asia,UZB,Central Asia,2741,11
Venezuela,Americas,VEN,South America,504,10
Vietnam,Asia,VNM,South-Eastern Asia,318,0
British Virgin Islands,Americas,VGB,Caribbean,8,1
United States Virgin Islands,Americas,VIR,Caribbean,69,6
Western Sahara,Africa,ESH,Northern Africa,6,0
Yemen,Asia,YEM,Western Asia,124,19
Zambia,Africa,ZMB,Eastern Africa,679,7
Zimbabwe,Africa,ZWE,Eastern Africa,44,4
